Condition	USMLE Classic Presentation	Pathophysiology	Epidemiology	Salient Signs & Symptoms	Time Course	Differential	Diagnostics	Treatment	Never Miss	More Info																
Abetalipoproteinemia	Infant with failure to thrive, steatorrhea, acanthocytosis on blood smear; later develops ataxia, retinitis pigmentosa, fat-soluble vitamin deficiencies; "no apoB, fat malabsorption, spiky red cells, ataxia"	Autosomal recessive disorder caused by biallelic mutations in MTTP gene; microsomal triglyceride transfer protein deficiency prevents assembly of apolipoprotein B-containing lipoproteins in intestine and liver; results in fat malabsorption and severe hypolipidemia	Very rare; prevalence less than 1 in 1,000,000	Infant: steatorrhea, vomiting, failure to thrive, fat-soluble vitamin deficiency; Later: spinocerebellar ataxia, peripheral neuropathy, myopathy, retinitis pigmentosa leading to blindness, acanthocytosis, anemia, coagulopathy, lordosis, kyphoscoliosis; extremely low total cholesterol (less than 50 mg per dL), LDL cholesterol (less than 15 mg per dL), apolipoprotein B (less than 15 mg per dL)	Presents in infancy with gastrointestinal symptoms; progressive neurological and ophthalmological complications develop in childhood and adolescence if untreated; debilitating or lethal by third decade without treatment	Homozygous familial hypobetalipoproteinemia, chylomicron retention disease, celiac disease, cystic fibrosis, other causes of fat malabsorption	Extremely low LDL cholesterol (less than 15 mg per dL) and apolipoprotein B (less than 15 mg per dL); acanthocytes on peripheral blood smear; absent apolipoprotein B-containing lipoproteins; fat-filled enterocytes on small bowel biopsy; genetic testing for MTTP mutations; fat-soluble vitamin levels (A, E, K) markedly reduced	High-dose fat-soluble vitamin supplementation (vitamin E 100 to 300 mg per kg per day, vitamin A, vitamin K); low-fat diet with medium-chain triglyceride supplementation; early treatment prevents or delays complications; ophthalmology and neurology monitoring; supportive care for complications	Y	https://www.ncbi.nlm.nih.gov/books/NBK1397/																
Aldolase B Deficiency (Hereditary Fructose Intolerance)	Infant with vomiting, hypoglycemia, and hepatomegaly after introduction of fructose-containing foods; aversion to sweets develops	Autosomal recessive deficiency of aldolase B enzyme; inability to convert fructose-1-phosphate to triose phosphates; toxic accumulation of fructose-1-phosphate in liver, kidney, and intestine; impaired gluconeogenesis and glycogenolysis	1 in 20,000 to 1 in 30,000 live births; higher in certain European populations	Vomiting, abdominal pain, hypoglycemia, hepatomegaly, failure to thrive after fructose ingestion; chronic exposure causes cirrhosis, renal tubular dysfunction, growth retardation; patients develop strong aversion to sweet foods; increased intrahepatic triglyceride content even on fructose-free diet	Symptoms begin with introduction of fructose (fruits, table sugar, sorbitol) in infancy; chronic liver disease develops with continued exposure; excellent prognosis with strict fructose avoidance	Galactosemia, tyrosinemia, glycogen storage diseases, other causes of infantile liver disease and hypoglycemia	Hypoglycemia with hypophosphatemia and lactic acidosis after fructose load; elevated uric acid; liver biopsy showing glycogen and fat accumulation with absent or reduced aldolase B activity; genetic testing for ALDOB mutations (common mutations: A149P, A174D, N334K)	Strict lifelong avoidance of fructose, sucrose, and sorbitol; vitamin C supplementation (as ascorbic acid, not from fruits); genetic counseling; excellent prognosis with dietary compliance	Y	https://www.ncbi.nlm.nih.gov/books/NBK1116/																
Alkaptonuria	Adult with dark urine that turns black on standing, dark pigmentation of ear cartilage and sclera, early-onset arthritis of spine and large joints; "black urine, black ears, black spine"	Autosomal recessive deficiency of homogentisate 1,2-dioxygenase enzyme; inability to cleave aromatic ring of homogentisic acid leads to accumulation and excretion in urine; homogentisic acid oxidizes to benzoquinones forming melanin-like polymers that deposit in connective tissues causing ochronosis	Very rare; prevalence less than 1 per 250,000; higher in certain populations (Slovakia, Dominican Republic); equal male and female distribution	Dark urine (turns black on standing or alkalinization), ochronosis (blue-black pigmentation of cartilage, sclera, ear), ochronotic arthropathy (degenerative arthritis of spine and large joints beginning in third decade), cardiac valve disease (aortic stenosis), kidney and prostate stones, tendon and ligament ruptures	Congenital but asymptomatic in childhood; dark urine may be noticed in infancy but often overlooked; ochronosis becomes apparent in third decade; debilitating arthropathy develops in fourth to fifth decade	Porphyria, melanuria from melanoma, other causes of osteoarthritis, alkaptonuria-like syndrome from exogenous sources	Elevated urinary homogentisic acid (greater than 1 gram per 24 hours); urine turns dark on standing or with alkalinization; genetic testing for HGD mutations; radiographs showing characteristic spine calcification and disc degeneration; ochronotic pigment on tissue biopsy	Nitisinone 2 to 10 milligrams daily (inhibits homogentisic acid production); physical therapy; pain management with nonsteroidal anti-inflammatory drugs; joint replacement surgery for severe arthropathy; vitamin C supplementation has not proven effective; multidisciplinary care	N	https://www.ncbi.nlm.nih.gov/books/NBK1454/																
Angelman Syndrome	Child with severe developmental delay, absent speech, happy demeanor with frequent laughter, ataxic gait, hand flapping; "happy puppet syndrome"	Loss of function of maternally inherited UBE3A gene on chromosome 15q11.2-q13; 70% maternal deletion, 11% UBE3A mutation, 7% paternal uniparental disomy 15, 3% imprinting defect, 10% unknown mechanism; paternal UBE3A silenced in neurons; impaired synapse formation and remodeling	1 in 12,000 to 1 in 20,000 live births; equal sex distribution	Severe developmental delay, absent or minimal speech (nonverbal communication skills better), ataxic gait with tremulous limb movements, happy demeanor with frequent inappropriate laughter, hand flapping and stereotypic movements, microcephaly (80%), seizures (80 to 90%), characteristic EEG with high-amplitude slow spike-wave activity, sleep disturbances, tongue thrusting, wide-based gait, hypopigmentation in deletion cases	Developmental delays noted at 6 to 12 months; unique features become apparent after age 1 year; seizures typically begin age 1 to 3 years; behavioral phenotype more evident with age; lifespan near normal with appropriate care	Rett syndrome, other causes of severe developmental delay with seizures, autism spectrum disorder, cerebral palsy	DNA methylation analysis of chromosome 15q11.2-q13 detects approximately 78% (identifies deletion, uniparental disomy, imprinting defect); UBE3A sequencing detects additional 11%; chromosomal microarray; EEG showing characteristic pattern	Antiepileptic drugs for seizures (valproic acid often effective); physical, occupational, and speech therapy emphasizing nonverbal communication; behavioral interventions; treatment of sleep disturbances; management of gastrointestinal symptoms; orthopedic care for scoliosis; genetic therapies to activate paternal UBE3A under investigation	N	https://www.ncbi.nlm.nih.gov/books/NBK1144/																
Antiphospholipid Antibody Syndrome	Young woman with recurrent miscarriages and deep vein thrombosis; or patient with arterial or venous thrombosis plus persistently positive antiphospholipid antibodies; "sticky blood syndrome, clots and pregnancy loss"	Autoimmune disorder with antiphospholipid antibodies (lupus anticoagulant, anticardiolipin, anti-beta-2-glycoprotein I) directed against phospholipid-binding proteins; antibodies activate endothelial cells, platelets, and complement, promoting thrombosis; interfere with placental function causing pregnancy complications	Prevalence less than 1 per 1,000; female-to-male ratio 3.5:1; can be primary (isolated) or secondary (associated with systemic lupus erythematosus in 30 to 40%)	Venous thrombosis (most common: deep vein thrombosis, pulmonary embolism), arterial thrombosis (stroke, myocardial infarction), recurrent pregnancy loss (three or more consecutive losses before 10 weeks or one or more losses at or after 10 weeks), thrombocytopenia, livedo reticularis, cardiac valve disease, catastrophic antiphospholipid syndrome (rare, life-threatening multi-organ thrombosis)	Thrombotic events can occur at any age; pregnancy complications typically in reproductive years; catastrophic antiphospholipid syndrome develops acutely over days	Other thrombophilias (factor V Leiden, prothrombin mutation), systemic lupus erythematosus without antiphospholipid syndrome, other causes of recurrent pregnancy loss, vasculitis	Positive lupus anticoagulant (most specific for thrombosis) or moderate-to-high titer anticardiolipin IgG or IgM (greater than or equal to 40 units) or anti-beta-2-glycoprotein I IgG or IgM (greater than or equal to 40 units or 99th percentile) on two or more occasions at least 12 weeks apart; high-risk profile: positive lupus anticoagulant with or without other antibodies	Thrombosis: lifelong anticoagulation with warfarin (target INR 2 to 3); direct oral anticoagulants may be less effective in high-risk patients; Obstetric: low-dose aspirin plus prophylactic or therapeutic heparin during pregnancy; hydroxychloroquine may reduce thrombosis risk; catastrophic antiphospholipid syndrome requires anticoagulation, corticosteroids, plasma exchange, intravenous immunoglobulin	Y	https://www.ncbi.nlm.nih.gov/books/NBK430980/																
Ataxia-Telangiectasia	Child with wobbly gait, spider veins on eyes, recurrent sinopulmonary infections, elevated alpha-fetoprotein	Autosomal recessive disorder caused by mutations in ATM gene encoding serine/threonine protein kinase; defective DNA double-strand break repair and oxidative stress response leading to genomic instability	1 in 40,000 to 1 in 100,000 live births worldwide; higher in certain populations	Progressive cerebellar ataxia starting age 2-5 years, oculocutaneous telangiectasias, oculomotor apraxia, immunodeficiency with recurrent infections, elevated alpha-fetoprotein, increased cancer risk especially lymphoid malignancies, wheelchair dependence by age 10 years in classic form	Progressive neurodegeneration beginning in early childhood; wheelchair use typically by age 10 years; life expectancy into early adulthood	Ataxia-telangiectasia-like disorder, Nijmegen breakage syndrome, Friedreich ataxia, other autosomal recessive cerebellar ataxias	Elevated serum alpha-fetoprotein, immunoglobulin deficiencies especially IgA, lymphopenia, absent or deficient ATM protein or kinase activity in cultured cells, genetic testing for ATM mutations, cerebellar atrophy on MRI	Supportive care including physical and speech therapy, immunoglobulin replacement for immunodeficiency, prophylactic antibiotics, aggressive treatment of infections, avoid ionizing radiation, regular cancer surveillance; no curative treatment available	Y	https://www.ncbi.nlm.nih.gov/books/NBK26468/																
Carnitine Palmitoyltransferase 2 Deficiency	Young adult male with recurrent myoglobinuria after prolonged exercise, fasting, or cold exposure; "muscle pain after marathon running"	Defective CPT2 enzyme prevents transport of long-chain fatty acids into mitochondria for beta-oxidation; most common mutation is p.Ser113Leu causing abnormal enzyme thermolability and malonyl-CoA sensitivity	Most common inherited disorder of long-chain fatty acid oxidation affecting skeletal muscle; male predominance; myopathic form most frequent	Myopathic form: recurrent myalgia, muscle weakness, rhabdomyolysis, myoglobinuria (red-brown urine), risk of acute kidney injury; Severe infantile form: hypoketotic hypoglycemia, hepatomegaly, cardiomyopathy, arrhythmia, seizures; Lethal neonatal form: respiratory failure, liver failure, structural brain and kidney abnormalities	Myopathic form: episodic attacks triggered by prolonged exercise, fasting, infections, cold exposure; Severe infantile form: onset within first year; Lethal neonatal form: presents at birth, survival days to months	Other fatty acid oxidation disorders, McArdle disease, polymyositis, drug-induced myopathy, other causes of rhabdomyolysis	Elevated creatine kinase during attacks, myoglobinuria, plasma acylcarnitine profile showing elevated long-chain acylcarnitines, CPT2 gene sequencing, muscle biopsy may show normal or reduced CPT activity with abnormal malonyl-CoA sensitivity	Myopathic form: avoid prolonged fasting and strenuous exercise, frequent high-carbohydrate meals, medium-chain triglyceride supplementation; Severe forms: avoid fasting, high-carbohydrate diet, medium-chain triglycerides, emergency glucose infusion during illness; acute rhabdomyolysis requires aggressive hydration	Y	https://www.ncbi.nlm.nih.gov/books/NBK1253/																
Carnitine-Acylcarnitine Translocase Deficiency	Newborn with cardiac arrest, severe hypotonia, and hyperammonemia in first 48 hours of life despite feeding	SLC25A20 gene mutations cause deficiency of CACT protein, preventing transport of long-chain fatty acids attached to carnitine across inner mitochondrial membrane; leads to energy deficiency and toxic accumulation of long-chain acylcarnitines	Rare autosomal recessive disorder; incidence not well established; attenuated form more common in Pakistani populations with c.82G greater than T mutation	Classical form: hypoketotic hypoglycemia, hyperammonemia, cardiac arrhythmias or arrest, cardiomyopathy, hepatomegaly, elevated liver enzymes, seizures, hypotonia; Attenuated form: later onset, longer survival, less severe hyperammonemia	Classical form: presentation in first 2 days of life with high early mortality; Attenuated form: later onset in infancy or childhood with better long-term survival	Other fatty acid oxidation disorders, CPT2 deficiency, LCHAD deficiency, organic acidemias, urea cycle disorders, sepsis	Plasma acylcarnitine profile showing elevated long-chain acylcarnitines with low free carnitine, hypoketotic hypoglycemia, hyperammonemia, SLC25A20 gene sequencing	Acute: high-dose intravenous glucose (12 to 15 grams per kilogram per day for infants), insulin for hyperglycemia, cardiac monitoring, intravenous L-carnitine controversial; Maintenance: strict avoidance of fasting, long-chain fat restriction, medium-chain triglyceride supplementation, frequent high-carbohydrate feeds; triheptanoin and therapeutic hydroxybutyrate may improve outcomes	Y	https://www.ncbi.nlm.nih.gov/books/NBK582032/																
Celiac Disease	Child or adult with chronic diarrhea, weight loss, abdominal bloating, iron deficiency anemia; dermatitis herpetiformis; "gluten causes villous atrophy and malabsorption"	Autoimmune disorder triggered by gluten (gliadin) in genetically susceptible individuals (HLA-DQ2 or HLA-DQ8); tissue transglutaminase modifies gliadin peptides, creating immunogenic epitopes; T-cell mediated immune response causes villous atrophy and crypt hyperplasia in small intestine	Prevalence 1 to 3%; affects all ages; higher in first-degree relatives (10%), type 1 diabetes (5 to 10%), autoimmune thyroid disease, Down syndrome, Turner syndrome	Classic: chronic diarrhea, steatorrhea, weight loss, abdominal bloating, failure to thrive in children; Non-classic: iron deficiency anemia, osteoporosis, elevated transaminases, constipation, dermatitis herpetiformis (pruritic vesicular rash on extensor surfaces), recurrent miscarriage, short stature, dental enamel defects	Can develop at any age; symptoms may be present for years before diagnosis; responds to gluten-free diet within weeks to months; lifelong condition	Inflammatory bowel disease, irritable bowel syndrome, lactose intolerance, small intestinal bacterial overgrowth, tropical sprue, other causes of malabsorption	IgA tissue transglutaminase antibodies (sensitivity 93%, specificity 96 to 100%) while on gluten-containing diet; total IgA to exclude IgA deficiency; esophagogastroduodenoscopy with duodenal biopsies showing villous atrophy, crypt hyperplasia, increased intraepithelial lymphocytes (Marsh 3 or Corazza grade B); children with IgA tissue transglutaminase greater than 10 times upper limit of normal plus positive IgA endomysial antibodies may avoid biopsy; HLA-DQ2 or HLA-DQ8 testing for negative predictive value	Strict lifelong gluten-free diet (avoid wheat, barley, rye); nutritional supplementation (iron, calcium, vitamin D, B vitamins); dietitian consultation; monitor for response with repeat tissue transglutaminase antibodies; screen for osteoporosis; pneumococcal vaccination due to hyposplenism risk	N	https://www.ncbi.nlm.nih.gov/books/NBK441900/																
Chordoma	Adult with sacral or skull base mass causing local compression symptoms; brachyury-positive tumor on immunohistochemistry	Rare bone tumor arising from notochordal remnants; notochord normally disappears at 8 weeks of fetal development; persistent notochordal elements undergo malignant transformation; low-grade but locally invasive with high recurrence rate	Annual incidence 0.1 per 100,000; prevalence less than 1 per 100,000; median age 60 years (skull base cases affect younger patients including children)	Sacral location (50%): lower back pain, bowel/bladder dysfunction, leg weakness; Skull base location (30%): headache, cranial nerve palsies, visual changes; Mobile spine (20%): pain, neurologic deficits; 30 to 40% develop metastases (lung, liver, bone) late in disease course	Slow-growing tumor with median time from symptoms to diagnosis greater than 2 years; local recurrence common; metastases typically occur late after local recurrence	Chondrosarcoma, metastatic carcinoma, giant cell tumor, osteosarcoma, plasmacytoma	MRI showing characteristic lobulated midline mass with high T2 signal; CT showing bone destruction with calcifications; biopsy with immunohistochemistry positive for brachyury (specific marker), S100, cytokeratin; negative for epithelial membrane antigen	Maximal safe surgical resection with wide margins (most important prognostic factor); adjuvant high-dose proton beam or photon radiation therapy; emerging targeted therapies (platelet-derived growth factor receptor inhibitors, mammalian target of rapamycin inhibitors) for advanced disease; multidisciplinary care at quaternary center	N	https://pubmed.ncbi.nlm.nih.gov/25638683																
