Condition	USMLE Classic Presentation	Pathophysiology	Epidemiology	Salient Signs & Symptoms	Time Course	Differential	Diagnostics	Treatment	Never Miss	More Info																
Achilles Tendinopathy	Middle-aged athlete with posterior heel or calf pain; pain and stiffness worse in morning and with activity initiation; tenderness 2 to 6 centimeters proximal to calcaneal insertion (midportion) or at insertion	Degenerative process with failed healing response; collagen disorganization; neovascularization; not primarily inflammatory; midportion (2 to 6 centimeters proximal to insertion) or insertional; risk factors include age, obesity, diabetes, fluoroquinolone use, sudden increase in activity	Affects 9 percent of recreational runners; incidence 2.35 per 1,000 in general population; male predominance; peak incidence 30 to 50 years	Pain and stiffness in Achilles tendon region; pain worse in morning and with activity initiation; tenderness on palpation; thickened tendon; pain with resisted plantarflexion; reduced ankle dorsiflexion; midportion or insertional location	Insidious onset over weeks to months; chronic course	Achilles tendon rupture, retrocalcaneal bursitis, Haglund deformity, posterior ankle impingement, calcaneal stress fracture, Sever disease in children	Clinical diagnosis based on pain location, pain during activity, tests that provoke pain, palpation to assess pain; imaging not routinely needed; ultrasound or magnetic resonance imaging shows thickened tendon with hypoechoic or hyperintense areas	Eccentric strengthening exercises (heel drops); load management; activity modification; nonsteroidal anti-inflammatory drugs; heel lifts; extracorporeal shockwave therapy; platelet-rich plasma injections; avoid corticosteroid injections (rupture risk); surgery for refractory cases	N	https://www.uptodate.com/contents/achilles-tendinopathy-and-tendon-rupture																
Achondroplasia	Short-limbed dwarfism with frontal bossing, midface hypoplasia, and trident hand configuration; "rhizomelic shortening"	Autosomal dominant mutation in fibroblast growth factor receptor 3 gene causing impaired endochondral ossification while membranous ossification remains normal	Most common skeletal dysplasia; incidence approximately 1 in 15,000-40,000 live births; 80% are new mutations	Rhizomelic limb shortening, macrocephaly with frontal bossing, midface hypoplasia, lumbar lordosis, trident hands, normal intelligence	Present at birth, progressive skeletal manifestations through childhood	Hypochondroplasia, thanatophoric dysplasia, pseudoachondroplasia, other skeletal dysplasias	Clinical diagnosis confirmed by skeletal survey showing characteristic features; molecular genetic testing for fibroblast growth factor receptor 3 mutation	Supportive care including monitoring for complications such as foramen magnum stenosis, spinal stenosis, obstructive sleep apnea; limb lengthening procedures in select cases; genetic counseling	N	https://www.ncbi.nlm.nih.gov/books/NBK1152/																
Acromioclavicular Joint Separation	Young male athlete with shoulder pain after direct blow to lateral shoulder or fall onto outstretched arm; "shoulder pointer"	Disruption of acromioclavicular and coracoclavicular ligaments due to direct trauma, causing loss of static stabilization between clavicle and acromion	Common in males aged 20-49 years, especially contact sports like football and hockey	Pain over acromioclavicular joint, visible deformity with superior displacement of distal clavicle, pain with cross-body adduction, tenderness at joint	Acute onset following trauma	Clavicle fracture, shoulder dislocation, rotator cuff tear, acromioclavicular joint arthritis	Anteroposterior and Zanca radiographic views comparing injured to uninjured side; Rockwood classification Types I-VI based on displacement	Types I-II: nonoperative with sling for comfort; Type III: controversial, most nonoperative unless physically active patient; Types IV-VI: surgical intervention	N	https://www.aafp.org/pubs/afp/issues/2023/0500/acute-shoulder-injuries.html																
Acute Compartment Syndrome	Severe pain out of proportion to injury after tibial fracture or prolonged limb compression; pain with passive muscle stretch; "6 Ps" mnemonic	Increased pressure within closed fascial compartment causing decreased capillary perfusion, leading to muscle and nerve ischemia and potential necrosis	Incidence 3.1 per 100,000 people per year; male predominance 7.3 per 100,000 men versus 0.7 per 100,000 women; occurs in 1-9% of lower extremity fractures	Pain out of proportion to injury, pain with passive stretch, progressive paresthesias, tense compartment; late findings include paralysis, pallor, pulselessness	Develops within 6-10 hours of inciting event; irreversible tissue damage can occur within this timeframe	Fracture pain, deep vein thrombosis, peripheral vascular injury, cellulitis, necrotizing fasciitis	Clinical diagnosis in awake patients; intracompartmental pressure measurement when exam unreliable; absolute pressure greater than 30-45 millimeters of mercury or delta pressure less than 30 millimeters of mercury	Emergency fasciotomy of all affected compartments; delay risks irreversible muscle and nerve damage	Y	https://www.orthobullets.com/trauma/1011/compartment-syndrome																
Adhesive Capsulitis (Frozen Shoulder)	Middle-aged adult with insidious onset of shoulder pain and progressive loss of active and passive range of motion; difficulty with overhead activities and reaching behind back; "frozen shoulder"	Synovial inflammation and capsular fibrosis causing contracture; three phases: freezing (painful), frozen (stiff), thawing (recovery); associated with diabetes, thyroid disease, prolonged immobilization	Affects 2 to 5 percent of general population; peak incidence 40 to 60 years; female predominance; bilateral in 20 to 30 percent; 10 to 20 percent of diabetics affected	Progressive shoulder pain and stiffness; loss of active and passive range of motion in all planes (especially external rotation); pain worse at night; difficulty with activities of daily living	Freezing phase: 2 to 9 months; frozen phase: 4 to 12 months; thawing phase: 5 to 24 months; total duration 12 to 42 months	Rotator cuff tear, glenohumeral osteoarthritis, calcific tendinopathy, cervical radiculopathy, malignancy	Clinical diagnosis based on restricted passive range of motion; plain radiographs to exclude other pathology; magnetic resonance imaging shows thickened capsule and synovitis if diagnosis uncertain	Physical therapy with stretching exercises; nonsteroidal anti-inflammatory drugs; intra-articular corticosteroid injection; hydrodilatation; manipulation under anesthesia; arthroscopic capsular release for refractory cases	N	https://www.uptodate.com/contents/adhesive-capsulitis																
Adolescent Idiopathic Scoliosis	Painless lateral spinal curvature with rib hump on forward bend test in adolescent female; "Adams forward bend test"	Unknown etiology; theories include genetic factors, asymmetric growth, neuromuscular imbalance; results in three-dimensional spinal deformity with lateral curvature and vertebral rotation	Most common form of scoliosis; prevalence 2-3% in adolescents aged 10-16 years; female predominance especially for curves requiring treatment	Asymmetric shoulder or hip height, rib prominence on forward bending, waistline asymmetry; typically painless unless severe	Onset during growth spurt, typically ages 10-16 years; progression risk highest during rapid growth phases	Congenital scoliosis, neuromuscular scoliosis, degenerative scoliosis, Scheuermann kyphosis, leg length discrepancy	Standing posteroanterior and lateral spine radiographs; Cobb angle measurement; skeletal maturity assessment with Risser sign	Observation for curves less than 25 degrees; bracing for curves 25-40 degrees in skeletally immature patients; surgical fusion for curves greater than 40-50 degrees or progressive curves despite bracing	N	https://www.aaos.org/quality/quality-programs/lower-extremity-programs/adolescent-idiopathic-scoliosis/																
Adult Sagittal Deformity	Progressive forward stooping posture with inability to stand upright in older adult; difficulty with horizontal gaze; "chin-on-chest deformity"	Degenerative changes including disc degeneration, facet arthropathy, vertebral compression fractures causing loss of lumbar lordosis and positive sagittal balance; may be iatrogenic after fusion	Increasing prevalence with aging population; affects up to 60% of adults over age 60 to some degree; female predominance	Forward trunk inclination, inability to stand erect, compensatory knee and hip flexion, neck hyperextension to maintain horizontal gaze, back and leg pain, early fatigue with walking	Gradual onset over years; progressive with aging and degenerative changes	Ankylosing spondylitis, Parkinson disease, neuromuscular disorders, post-laminectomy kyphosis, osteoporotic compression fractures	Standing full-length lateral spine radiographs measuring sagittal vertical axis, pelvic incidence, lumbar lordosis, pelvic tilt; assessment of spinopelvic parameters	Conservative management with physical therapy, analgesics, assistive devices; surgical correction with osteotomies and instrumented fusion for severe symptomatic deformity refractory to conservative treatment	N	https://www.spine.org/KnowYourBack/Conditions/Deformities/AdultSagittalDeformity																
Amniotic Band Syndrome	Newborn with constriction rings, limb amputations, or craniofacial defects; "constriction band sequence"	Rupture of amniotic membrane in early pregnancy with formation of fibrous strands that entangle and constrict fetal parts, causing vascular compromise and tissue damage	Incidence 1 in 1,200 to 1 in 15,000 live births; sporadic occurrence with no clear genetic pattern	Constriction rings on limbs, distal limb amputations, pseudosyndactyly, craniofacial defects including cleft lip and palate, body wall defects; severity varies from isolated limb constrictions to incompatible with life anomalies	Occurs during early pregnancy; constriction develops progressively in utero	Focal dermal hypoplasia, Adams-Oliver syndrome, terminal transverse limb defects, other limb reduction defects	Prenatal ultrasound showing limb constrictions, amputations, or amniotic bands; postnatal clinical examination; magnetic resonance imaging may be adjunctive but not superior to ultrasound	Prenatal: fetoscopic lysis of bands in select cases; postnatal: surgical release of constriction rings, reconstructive surgery for limb and craniofacial defects, multidisciplinary supportive care	N	https://www.ncbi.nlm.nih.gov/books/NBK559171/																
Aneurysmal Bone Cyst	Child or adolescent with painful, expansile lytic bone lesion; fluid-fluid levels on magnetic resonance imaging	Primary aneurysmal bone cyst is a true neoplasm with characteristic chromosomal translocations; secondary aneurysmal bone cyst represents reactive changes to other bone lesions; both result in blood-filled cystic spaces separated by fibrous septa	Accounts for approximately 1-2% of primary bone tumors; predominantly affects children and young adults under age 20 years; slight female predominance	Pain and swelling over affected bone, pathologic fracture possible; most commonly involves metaphysis of long bones, spine, pelvis; expansile, eccentric lesion	Gradual onset over weeks to months; can be locally aggressive with bone destruction	Unicameral bone cyst, telangiectatic osteosarcoma, giant cell tumor, chondroblastoma, fibrous dysplasia	Radiographs show expansile, lytic, eccentric metaphyseal lesion; magnetic resonance imaging demonstrates fluid-fluid levels; biopsy required to exclude telangiectatic osteosarcoma	Curettage with bone grafting or bone substitute; adjuvant treatments include phenol, liquid nitrogen, argon laser; sclerotherapy with various agents; denosumab for unresectable lesions; en bloc resection for aggressive cases	N	https://www.orthobullets.com/pathology/4061/aneurysmal-bone-cyst																
Ankle Sprains	Athlete with acute ankle pain after inversion injury; lateral ankle swelling and ecchymosis; able to bear weight for four steps; most common lower extremity injury in sports	Inversion injury causing damage to lateral ankle ligaments (anterior talofibular, calcaneofibular, posterior talofibular); anterior talofibular ligament most commonly injured; high ankle sprains involve tibiofibular syndesmosis	Most common musculoskeletal injury; affects teenagers and young adults; higher incidence in athletes; previous ankle sprain is greatest risk factor for recurrence	Lateral ankle pain and swelling; ecchymosis; tenderness over lateral ligaments; positive anterior drawer test; positive talar tilt test; antalgic gait; ability to bear weight variable	Acute onset at time of injury; healing 3 to 7 days for mild sprains, up to 6 weeks for severe sprains	Ankle fracture, high ankle sprain (syndesmosis injury), peroneal tendon subluxation, talar dome injury, fifth metatarsal fracture	Ottawa ankle rules to determine need for radiography: pain in malleolar or midfoot zone plus bone tenderness or inability to bear weight for four steps; clinical grading: Grade I (mild), Grade II (moderate), Grade III (severe)	Cryotherapy for first 3 to 7 days; lace-up ankle support or air stirrup brace with elastic compression wrap; early mobilization; nonsteroidal anti-inflammatory drugs; physical therapy with neuromuscular training	N	https://www.uptodate.com/contents/ankle-sprain																
