Condition	USMLE Classic Presentation	Pathophysiology	Epidemiology	Salient Signs & Symptoms	Time Course	Differential	Diagnostics	Treatment	Never Miss	More Info																
Alobar Holoprosencephaly	Most severe form of holoprosencephaly with single monoventricle, no separation of cerebral hemispheres, cyclopia or severe facial anomalies; "complete failure of brain division, single eye, proboscis"	Most severe form of holoprosencephaly with complete failure of prosencephalon division; single monoventricle with no interhemispheric fissure; often associated with trisomy 13 or other chromosomal abnormalities	Subset of holoprosencephaly cases; most severe form; frequently results in fetal demise or early neonatal death	Single monoventricle, cyclopia (single eye or partially divided eye in single orbit), proboscis above eye, ethmocephaly (closely spaced eyes with proboscis between), cebocephaly (closely spaced eyes with single-nostril nose), premaxillary agenesis with median cleft lip	Detectable on first-trimester ultrasound; most cases lethal in utero or shortly after birth; rare survivors have profound neurological impairment	Semilobar holoprosencephaly, lobar holoprosencephaly, other severe brain malformations, anencephaly	Prenatal ultrasound showing single ventricle detectable in first trimester; fetal MRI confirming monoventricle and absent interhemispheric structures; karyotype (trisomy 13 in 40 to 60%); genetic testing	Supportive care only; most cases incompatible with life; palliative care discussions; genetic counseling regarding recurrence risk and chromosomal abnormalities	Y	https://www.ncbi.nlm.nih.gov/books/NBK1530/																
Alzheimer Disease	Elderly patient with progressive memory loss, difficulty with word-finding, getting lost in familiar places, and inability to manage finances; "memory loss plus functional decline"	Progressive accumulation of extracellular amyloid-beta plaques and intracellular neurofibrillary tangles composed of hyperphosphorylated tau protein; leads to synaptic dysfunction, neuronal loss, and brain atrophy, particularly in hippocampus and temporal-parietal cortex	Most common cause of dementia; affects over 58 million people worldwide; prevalence increases with age (doubles every 5 years after age 65); apolipoprotein E epsilon 4 allele is major genetic risk factor	Early: short-term memory loss, word-finding difficulty, misplacing items; Middle: disorientation, impaired judgment, behavioral changes, apraxia, agnosia; Late: loss of speech, inability to recognize family, incontinence, complete dependence for activities of daily living	Insidious onset; progressive decline over years (average 8 to 10 years from diagnosis to death); progresses through mild cognitive impairment, mild dementia, moderate dementia, to severe dementia	Vascular dementia, Lewy body dementia, frontotemporal dementia, normal pressure hydrocephalus, depression (pseudodementia), vitamin B12 deficiency, hypothyroidism, medication effects	Clinical diagnosis using National Institute on Aging-Alzheimer Association criteria; cognitive testing (Mini-Mental State Examination, Montreal Cognitive Assessment); magnetic resonance imaging shows hippocampal and cortical atrophy; positron emission tomography amyloid or tau imaging; cerebrospinal fluid or plasma biomarkers (decreased amyloid-beta 42, increased tau)	Cholinesterase inhibitors (donepezil, rivastigmine, galantamine) for mild to moderate disease; memantine (N-methyl-D-aspartate receptor antagonist) for moderate to severe disease; newer disease-modifying therapies: lecanemab and donanemab (anti-amyloid monoclonal antibodies) for mild cognitive impairment or mild dementia stage; nonpharmacologic: cognitive stimulation, caregiver support	N	https://www.uptodate.com/contents/clinical-features-and-diagnosis-of-alzheimers-disease																
Amyotrophic Lateral Sclerosis	Adult with progressive asymmetric limb weakness, muscle atrophy, fasciculations, hyperreflexia, and bulbar symptoms without sensory loss; "upper and lower motor neuron signs together"	Progressive degeneration of upper motor neurons in motor cortex and lower motor neurons in brainstem and spinal cord anterior horns; mechanisms include protein aggregation (transactive response DNA-binding protein 43, superoxide dismutase 1), glutamate excitotoxicity, oxidative stress, mitochondrial dysfunction; 10 percent familial	Incidence 1 to 3 per 100,000 per year; prevalence 4 to 6 per 100,000; mean age of onset 55 to 65 years; male to female ratio 1.5 to 1; 90 percent sporadic, 10 percent familial	Upper motor neuron: spasticity, hyperreflexia, extensor plantar responses; Lower motor neuron: weakness, muscle atrophy, fasciculations, hyporeflexia; Bulbar: dysarthria, dysphagia, tongue atrophy and fasciculations; no sensory loss, no bowel or bladder dysfunction early, no eye movement abnormalities	Progressive over months to years; median survival 3 to 5 years from symptom onset; 10 percent survive more than 10 years; bulbar onset has worse prognosis	Multifocal motor neuropathy, cervical myelopathy with radiculopathy, inclusion body myositis, spinobulbar muscular atrophy, primary lateral sclerosis, progressive muscular atrophy, myasthenia gravis	Electromyography and nerve conduction studies showing widespread denervation with normal sensory responses; magnetic resonance imaging of brain and spine to exclude structural lesions; revised El Escorial criteria (upper and lower motor neuron signs in multiple regions); elevated creatine kinase	Riluzole (glutamate antagonist) modestly prolongs survival; edaravone (antioxidant) may slow decline; multidisciplinary care: noninvasive ventilation, percutaneous endoscopic gastrostomy, physical therapy, speech therapy, palliative care	N	https://www.uptodate.com/contents/amyotrophic-lateral-sclerosis-clinical-features-and-diagnosis																
Anterior Cord Syndrome	Loss of motor function and pain/temperature sensation with preserved proprioception and vibration; "can tell where limbs are but can't move them or feel pain"	Ischemic injury to anterior two-thirds of spinal cord from anterior spinal artery occlusion; affects corticospinal tracts and spinothalamic tracts; dorsal columns (posterior one-third) spared	Relatively rare; associated with aortic surgery, hypotension, anterior spinal artery thrombosis, disc herniation, hyperflexion injuries	Complete motor paralysis below lesion; loss of pain and temperature sensation below lesion; preserved proprioception, vibration, two-point discrimination, and fine touch; bladder and bowel dysfunction	Acute onset over minutes to hours with vascular causes; may be acute with trauma	Central cord syndrome, complete spinal cord injury, spinal cord infarction, epidural hematoma, transverse myelitis	Magnetic resonance imaging shows anterior cord signal abnormality (T2 hyperintensity in anterior two-thirds); diffusion-weighted imaging may show restricted diffusion with infarction; neurological examination	Acute: supportive care, blood pressure augmentation for spinal cord perfusion; treat underlying cause (aortic repair, anticoagulation if thrombosis); Rehabilitation: physical and occupational therapy; Prognosis: poorest among incomplete cord syndromes	Y	https://www.uptodate.com/contents/traumatic-spinal-cord-injury																
Aqueductal Stenosis	Child or young adult with progressive headaches and vomiting; congenital form presents in infancy with macrocephaly; X-linked form in males with adducted thumbs	Narrowing or obstruction of cerebral aqueduct of Sylvius between third and fourth ventricles; can be congenital due to genetic mutations such as L1CAM or acquired from infection, hemorrhage, tumor; results in dilation of lateral and third ventricles with normal fourth ventricle	Most common cause of congenital obstructive hydrocephalus; X-linked hydrocephalus accounts for some cases; can present at any age from prenatal period through adulthood	Infants: increasing head circumference, bulging fontanelle, irritability, vomiting, upgaze palsy; older patients: headache, nausea, vomiting, diplopia from sixth nerve palsy, cognitive decline, gait disturbance	Congenital forms typically present in infancy or early childhood; acquired forms present subacutely after inciting event; can remain asymptomatic until adulthood in some cases	Other causes of obstructive hydrocephalus such as posterior fossa tumor, tectal glioma, pineal region mass, vein of Galen malformation	Magnetic resonance imaging shows dilated lateral and third ventricles with normal or small fourth ventricle; aqueductal narrowing or obstruction visible; cine magnetic resonance imaging cerebrospinal fluid flow studies confirm obstruction; prenatal ultrasound or fetal magnetic resonance imaging for prenatal diagnosis	Endoscopic third ventriculostomy is standard treatment; ventriculoperitoneal shunt if endoscopic third ventriculostomy fails or is contraindicated; stereotactic prepontine stenting is alternative; treat underlying cause if tumor or mass present	Y	https://www.uptodate.com/contents/congenital-hydrocephalus-pathogenesis-and-clinical-features																
Arnold-Chiari Malformation (Chiari Malformation Type 1)	Adolescent or young adult with occipital headache worsened by Valsalva, syringomyelia causing cape-like sensory loss; cerebellar tonsillar herniation greater than or equal to 5 mm below foramen magnum	Cerebellar tonsillar herniation through foramen magnum (greater than or equal to 5 mm); may be associated with syrinx (cystic cavity in spinal cord); causes CSF flow obstruction and compression of lower medulla; multifactorial etiology, possible genetic component	Prevalence 0.9% for tonsillar descent greater than or equal to 5 mm on MRI in asymptomatic adults; female-to-male ratio 3.5:1; can be primary or secondary to connective tissue disorders	Occipital or suboccipital headache (especially Valsalva-associated), numbness or weakness in hands/feet, oscillopsia, hearing problems, balance problems, downbeating nystagmus, sleep apnea, swallowing difficulty; syrinx causes cape-like sensory loss and weakness	Can be congenital but often asymptomatic until adolescence or adulthood; symptoms may be progressive; syrinx can develop over time	Chiari malformation type 2 (associated with myelomeningocele), other causes of headache, syringomyelia from other causes, posterior fossa tumors	Brain and cervical spine MRI showing cerebellar tonsillar herniation greater than or equal to 5 mm below foramen magnum (McRae's line); peglike tonsillar shape; syrinx on cervical MRI; cardiac-gated CSF flow imaging shows compromised CSF dynamics	Asymptomatic or mildly symptomatic: conservative management with observation; Symptomatic: posterior fossa decompression with duraplasty; syrinx may require separate treatment; avoid activities that increase intracranial pressure	N	https://www.nejm.org/doi/full/10.1056/NEJMra2308055																
Benedikt Syndrome	Ipsilateral third nerve palsy with contralateral tremor, ataxia, and hyperreflexia; "red nucleus plus third nerve"	Midbrain lesion affecting oculomotor nerve fascicles, red nucleus, and superior cerebellar peduncle; most commonly due to posterior cerebral artery or basilar perforating artery occlusion; also caused by trauma, tumor, or hemorrhage	Rare midbrain syndrome; typically affects middle-aged to older adults; vascular etiology most common	Ipsilateral: third nerve palsy (ptosis, mydriasis, eye down and out); Contralateral: intention tremor, hemiataxia, dysmetria, hyperactive deep tendon reflexes, choreiform movements possible	Acute onset with vascular causes (minutes to hours); subacute to chronic with mass lesions (days to weeks)	Weber syndrome, Claude syndrome, other midbrain strokes, multiple sclerosis, brain tumor, arteriovenous malformation	Magnetic resonance imaging with diffusion-weighted imaging shows midbrain lesion involving red nucleus and oculomotor fascicles; magnetic resonance angiography or computed tomography angiography to evaluate posterior circulation; vascular risk factor assessment	Acute stroke: thrombolysis or thrombectomy if eligible; secondary stroke prevention with antiplatelet or anticoagulation; symptomatic tremor management: propranolol, primidone, or deep brain stimulation of ventral intermediate nucleus for refractory cases; physical therapy for ataxia	Y	https://www.uptodate.com/contents/overview-of-the-clinical-manifestations-of-posterior-circulation-stroke																
Botulism	Patient with descending paralysis, diplopia, dysarthria, dysphagia following consumption of home-canned foods or honey (infant); "flaccid paralysis that descends"	Clostridium botulinum produces botulinum toxin (types A, B, E most common in humans); toxin irreversibly blocks acetylcholine release at neuromuscular junction by cleaving synaptosomal-associated protein 25; causes flaccid paralysis	Rare; approximately 200 cases per year in United States; foodborne (home-canned foods, fermented fish), infant (honey, soil exposure in infants less than 12 months), wound (injection drug use), iatrogenic (cosmetic or therapeutic botulinum toxin)	Cranial nerve palsies: diplopia, ptosis, dilated pupils, dysarthria, dysphagia, facial weakness; descending symmetric flaccid paralysis; no sensory loss; no fever; alert and oriented; autonomic: dry mouth, constipation, urinary retention; respiratory failure	Foodborne: symptoms 12 to 36 hours after ingestion; progressive over days; recovery over weeks to months with supportive care	Guillain-Barré syndrome (especially Miller Fisher variant), myasthenia gravis, stroke, tick paralysis, Lambert-Eaton myasthenic syndrome, organophosphate poisoning, shellfish poisoning	Clinical diagnosis; confirmatory: detection of toxin in serum, stool, or food by mouse bioassay; electromyography shows brief, small, abundant motor unit action potentials with facilitation at high-frequency stimulation; normal nerve conduction studies	Antitoxin: heptavalent botulism antitoxin for adults, botulism immune globulin for infants; supportive care: mechanical ventilation if respiratory failure; nasogastric feeding; bowel regimen; do not induce vomiting; antibiotics only for wound botulism (penicillin or metronidazole)	Y	https://www.uptodate.com/contents/botulism																
Brain Abscess	Headache, fever, focal neurologic deficits (classic triad present in minority); history of dental infection, ear-nose-throat infection, or immunocompromise	Focal pyogenic infection of brain parenchyma; oral cavity bacteria including anaerobes predominant pathogens; also Staphylococcus aureus and Enterobacteriaceae; predisposing factors include contiguous infection, trauma, hematogenous spread	Incidence increasing, especially in elderly; affects 0.3-1.3 per 100,000 persons; immunocompromise present in 40%; dental and ear-nose-throat infections common predisposing conditions	Headache (most common), focal neurologic deficits, fever, seizures, altered mental status, nausea and vomiting; classic triad of headache, fever, and focal deficit present in minority	Subacute onset over days to weeks; can be acute in some cases	Meningitis, encephalitis, brain tumor, stroke, subdural empyema	Magnetic resonance imaging with contrast showing ring-enhancing lesion with restricted diffusion; neurosurgical aspiration or excision for diagnosis and source control; aerobic and anaerobic cultures	Neurosurgical aspiration or excision combined with prolonged antibiotics (typically 4-8 weeks); empiric regimen: ceftriaxone plus metronidazole plus vancomycin; adjust based on culture results and source	Y	https://www.uptodate.com/contents/brain-abscess																
Brown-Séquard Syndrome	Hemisection of spinal cord (classically from penetrating trauma like stab wound) with ipsilateral motor weakness and proprioception loss, contralateral pain and temperature loss	Unilateral spinal cord injury affecting ipsilateral corticospinal tract (motor), dorsal columns (proprioception, vibration), and contralateral spinothalamic tract (pain, temperature sensation crosses at spinal level)	Rare in pure form; more commonly presents as Brown-Séquard-plus syndrome with features of other incomplete syndromes; penetrating trauma, tumors, disc herniation, multiple sclerosis	Ipsilateral: motor weakness, loss of proprioception and vibration sense below lesion; Contralateral: loss of pain and temperature sensation one to two levels below lesion; Bilateral: all sensory modalities lost at level of lesion	Acute onset with trauma; gradual onset with compressive or inflammatory lesions	Central cord syndrome, anterior cord syndrome, complete spinal cord injury, spinal cord tumor, transverse myelitis, epidural abscess	Magnetic resonance imaging shows unilateral spinal cord lesion; computed tomography for bony injury; neurological examination documenting lateralized findings	Acute trauma: surgical decompression if indicated; Tumor or abscess: surgical resection or drainage; Rehabilitation: physical therapy; Prognosis: best recovery among incomplete cord syndromes	Y	https://www.uptodate.com/contents/traumatic-spinal-cord-injury																
