Condition	USMLE Classic Presentation	Pathophysiology	Epidemiology	Salient Signs & Symptoms	Time Course	Differential	Diagnostics	Treatment	Never Miss	More Info																
Acanthosis Nigricans	Velvety, hyperpigmented plaques in axillae and neck folds in obese adolescent; “bunch of grapes” appearance	Hyperkeratosis and papillomatosis triggered by insulin resistance, hyperinsulinemia, or rarely malignancy-associated growth factors	Prevalence 5.5% to 34.2%; commonly seen in adolescents, especially those with obesity or metabolic syndrome	Irregularly defined, hyperpigmented, velvety patches typically on posterior neck, axilla, and groin; may affect oral mucosa	Develops during adolescence; chronic and progressive if underlying condition persists	Confluent and reticulated papillomatosis, tinea versicolor, seborrheic dermatitis	Clinical diagnosis; dermoscopy shows crista cutis, sulcus cutis, papillary projections; evaluate for diabetes, insulin resistance, PCOS, or malignancy if atypical presentation	Address underlying condition: weight loss for obesity-related cases, manage diabetes or insulin resistance; topical retinoids for cosmetic improvement	Y	https://www.uptodate.com/contents/acanthosis-nigricans																
Acne keloidalis nuchae	Keloid-like papules and plaques on posterior neck in young Black male after close haircut	Chronic inflammatory folliculitis with abnormal immune response to follicular injury leading to scarring and cicatricial alopecia	Prevalence 0.5% to 13.6%; predominantly affects Black males (20:1 male to female ratio); onset postadolescence	Firm papules, pustules, or keloid-like plaques on nuchal and occipital scalp; may be pruritic, painful, or bleed; cicatricial alopecia develops	Begins hours to days after haircut; chronic and progressive without treatment	Folliculitis, keloids, bacterial folliculitis, dissecting cellulitis of scalp	Clinical diagnosis; biopsy shows deep scarring folliculitis with naked hair shafts and inflammation in upper two-thirds of dermis	Mild: topical triamcinolone with retinoids or clindamycin; moderate: intralesional triamcinolone 5-40 mg/mL; severe: laser therapy, phototherapy, or surgical excision; avoid close shaves and tight collars	N	https://www.uptodate.com/contents/acne-keloidalis-nuchae																
Acne vulgaris	Teenager with comedones, papules, and pustules on face and upper back	Follicular hyperkeratinization, sebum production, Cutibacterium acnes colonization, and inflammation	Most prevalent chronic skin disease; affects nearly 50 million people per year in US; primarily adolescents and young adults	Comedones (open or closed), inflammatory papules, pustules, nodules on face, upper back, chest, shoulders; may have postinflammatory hyperpigmentation or scarring	Onset typically during adolescence; may persist into adulthood	Rosacea, folliculitis, perioral dermatitis, drug-induced acne	Clinical diagnosis based on lesion morphology and distribution; evaluate for hyperandrogenism if severe, sudden onset, or signs of PCOS	Mild: topical retinoids with benzoyl peroxide; moderate: add topical or oral antibiotics (maximum 12 weeks) with retinoids and benzoyl peroxide; severe: oral isotretinoin; maintenance with topical retinoids	N	https://www.uptodate.com/contents/acne-vulgaris-management																
Acral lentiginous melanoma	Irregularly pigmented macule on sole or under nail in older Asian or Black patient	Lentiginous proliferation of atypical melanocytes along basal layer of glabrous skin; not UV-induced; associated with mechanical stress; mutations in KIT, NF1, TERT, TP53	Represents 2% to 3% of all melanomas; disproportionately affects Black, Hispanic, and Asian populations; higher proportion of melanoma cases in richly pigmented skin	Irregularly pigmented macule or patch on palms, soles, or subungual regions; asymmetry, border irregularity, color variegation	Insidious onset; often delayed diagnosis due to subtle presentation	Benign nevus, subungual hematoma, tinea nigra, plantar wart, traumatic pigmentation	Dermoscopy shows parallel ridge pattern; biopsy demonstrates lentiginous basal proliferation with dermal invasion; histopathology required for diagnosis	Wide local excision; sentinel lymph node biopsy if indicated; advanced disease may require lymph node surgery, radiotherapy, or systemic therapy	Y	https://www.uptodate.com/contents/acral-lentiginous-melanoma																
Acrochordon	Soft, pedunculated skin-colored papules in axillae and neck of middle-aged obese patient	Benign fibroepithelial polyps; pathogenesis unclear but associated with insulin resistance, metabolic syndrome	Common; increases with age and obesity; associated with diabetes, hyperlipidemia, hypertension	Soft, pedunculated or sessile skin-colored to brown papules typically in intertriginous areas (neck, axillae, groin); usually asymptomatic	Develops in adulthood; may increase in number over time	Seborrheic keratosis, neurofibromas, dermatosis papulosa nigra, warts	Clinical diagnosis; biopsy rarely needed	Observation if asymptomatic; removal by snip excision, cryotherapy, or electrodesiccation for cosmetic or symptomatic lesions; evaluate for metabolic abnormalities	N	https://www.uptodate.com/contents/skin-tags-acrochordons																
Actinic keratosis	Rough, scaly, erythematous papules on sun-exposed areas in elderly fair-skinned individual	UV-induced keratinocyte dysplasia with epidermal hyperplasia and cellular atypia; precursor to cutaneous squamous cell carcinoma	Very common in elderly with fair skin and chronic sun exposure; prevalence increases with age and cumulative UV exposure	Rough or scaly erythematous, pink, or brown papules or patches on sun-exposed areas (face, scalp, forearms, hands); may be tender	Develops after years of cumulative sun exposure; chronic; may progress to squamous cell carcinoma in situ or invasive squamous cell carcinoma	Seborrheic keratosis, squamous cell carcinoma, basal cell carcinoma, Bowen disease, superficial spreading melanoma	Clinical diagnosis; biopsy if uncertain or concern for malignancy shows epidermal hyperplasia with cellular atypia	Lesion-directed: cryotherapy, curettage; field-directed: topical 5-fluorouracil, imiquimod, ingenol mebutate, diclofenac; photodynamic therapy; combination therapy; sun protection	N	https://www.uptodate.com/contents/actinic-keratosis																
Acute Cutaneous Lupus Erythematosus	Photosensitive malar rash sparing nasolabial folds in young woman with fever and joint pain	Immune complex deposition and complement activation causing inflammation in sun-exposed skin; associated with systemic lupus erythematosus	Predominantly affects women (9:1 female to male ratio); peak onset in childbearing years; more common in Black, Hispanic, and Asian populations	Erythematous malar butterfly rash sparing nasolabial folds; photosensitivity; may have fever, arthralgia, oral ulcers, alopecia; associated with systemic manifestations	Acute onset; may be first manifestation of systemic lupus erythematosus or occur during disease flare	Rosacea, seborrheic dermatitis, dermatomyositis, drug-induced lupus, subacute cutaneous lupus erythematosus	Antinuclear antibody positive (titer greater than or equal to 1:80); anti-double-stranded DNA and anti-Smith antibodies; low complement (C3, C4); skin biopsy shows interface dermatitis with immunofluorescence showing immunoglobulin and complement deposition at dermal-epidermal junction	Topical corticosteroids and calcineurin inhibitors; hydroxychloroquine for systemic disease; systemic corticosteroids for severe cases; strict sun protection; treat underlying systemic lupus erythematosus	Y	https://www.uptodate.com/contents/cutaneous-lupus-erythematosus-diagnosis-and-treatment																
Acute Generalized Exanthematous Pustulosis	Widespread sterile pustules on erythematous base with fever 1 to 2 days after starting antibiotic (especially beta-lactam)	Type 4 hypersensitivity reaction with T-cell mediated neutrophil recruitment; drug-induced activation of innate immune system causing pustule formation	Rare; incidence 1 to 5 cases per million per year; no sex predilection; can occur at any age	Sudden onset of numerous small sterile pustules on erythematous edematous skin; starts in intertriginous areas and spreads; high fever (greater than 38.3 degrees Celsius); facial edema; purpura may develop	Onset within 1 to 2 days of drug exposure (median 1 day); resolves within 15 days after drug withdrawal with characteristic desquamation	Pustular psoriasis, Stevens-Johnson syndrome, toxic epidermal necrolysis, drug reaction with eosinophilia and systemic symptoms	Clinical diagnosis; skin biopsy shows subcorneal or intraepidermal pustules with papillary dermal edema and neutrophilic infiltrate; leukocytosis with neutrophilia; eosinophilia in 30%; elevated liver enzymes possible	Immediate withdrawal of offending drug; supportive care; topical corticosteroids; systemic corticosteroids for severe cases; resolves spontaneously after drug cessation	N	https://www.uptodate.com/contents/acute-generalized-exanthematous-pustulosis																
Allergic Contact Dermatitis	Pruritic vesicular rash in distribution of exposure (poison ivy linear streaks, nickel under jewelry or belt buckle)	Type 4 delayed hypersensitivity reaction; sensitization phase followed by elicitation phase upon re-exposure; T-cell mediated inflammation	Very common; affects all ages; occupational exposure common in adults	Pruritic erythematous papules and vesicles in distribution of allergen contact; may have weeping, crusting, or lichenification with chronic exposure; linear arrangement suggests exogenous contactant	Sensitization requires 10 to 14 days on first exposure; elicitation occurs 24 to 72 hours after re-exposure	Irritant contact dermatitis, atopic dermatitis, dyshidrotic eczema, cellulitis	Clinical diagnosis based on distribution and history; patch testing identifies specific allergen; biopsy shows spongiotic dermatitis with lymphocytic infiltrate	Remove offending allergen; topical corticosteroids (high potency for acute, moderate for maintenance); oral corticosteroids for severe or widespread disease; antihistamines for pruritus	N	https://www.uptodate.com/contents/allergic-contact-dermatitis																
Alopecia Areata	Well-demarcated round patches of hair loss with exclamation point hairs at margins in child or young adult	Autoimmune attack on hair follicles by T-cells; follicles remain intact but enter premature catagen phase; associated with other autoimmune conditions	Lifetime risk 2%; affects all ages but peak onset in childhood and young adulthood; equal sex distribution	Smooth, well-circumscribed patches of complete hair loss; exclamation point hairs (broken hairs wider at distal end); may progress to alopecia totalis (entire scalp) or alopecia universalis (entire body); nail pitting in 10% to 66%	Sudden onset; unpredictable course with spontaneous remission and relapse; 34% to 50% regrow hair within 1 year	Tinea capitis, trichotillomania, telogen effluvium, scarring alopecia, secondary syphilis	Clinical diagnosis; pull test positive at margins; dermoscopy shows yellow dots, black dots, broken hairs; potassium hydroxide preparation and fungal culture to exclude tinea; biopsy shows peribulbar lymphocytic infiltrate (swarm of bees pattern)	Observation for limited disease; intralesional corticosteroids (triamcinolone 5 to 10 milligrams per milliliter); topical immunotherapy (diphenylcyclopropenone, squaric acid); minoxidil; JAK inhibitors for extensive disease	N	https://www.uptodate.com/contents/alopecia-areata-management																
