Condition	USMLE Classic Presentation	Pathophysiology	Epidemiology	Salient Signs & Symptoms	Time Course	Differential	Diagnostics	Treatment	Never Miss	More Info																
Alzheimer Disease	Elderly patient with progressive memory loss, difficulty with word-finding, getting lost in familiar places, and inability to manage finances; "memory loss plus functional decline"	Progressive accumulation of extracellular amyloid-beta plaques and intracellular neurofibrillary tangles composed of hyperphosphorylated tau protein; leads to synaptic dysfunction, neuronal loss, and brain atrophy, particularly in hippocampus and temporal-parietal cortex	Most common cause of dementia; affects over 58 million people worldwide; prevalence increases with age (doubles every 5 years after age 65); apolipoprotein E epsilon 4 allele is major genetic risk factor	Early: short-term memory loss, word-finding difficulty, misplacing items; Middle: disorientation, impaired judgment, behavioral changes, apraxia, agnosia; Late: loss of speech, inability to recognize family, incontinence, complete dependence for activities of daily living	Insidious onset; progressive decline over years (average 8 to 10 years from diagnosis to death); progresses through mild cognitive impairment, mild dementia, moderate dementia, to severe dementia	Vascular dementia, Lewy body dementia, frontotemporal dementia, normal pressure hydrocephalus, depression (pseudodementia), vitamin B12 deficiency, hypothyroidism, medication effects	Clinical diagnosis using National Institute on Aging-Alzheimer Association criteria; cognitive testing (Mini-Mental State Examination, Montreal Cognitive Assessment); magnetic resonance imaging shows hippocampal and cortical atrophy; positron emission tomography amyloid or tau imaging; cerebrospinal fluid or plasma biomarkers (decreased amyloid-beta 42, increased tau)	Cholinesterase inhibitors (donepezil, rivastigmine, galantamine) for mild to moderate disease; memantine (N-methyl-D-aspartate receptor antagonist) for moderate to severe disease; newer disease-modifying therapies: lecanemab and donanemab (anti-amyloid monoclonal antibodies) for mild cognitive impairment or mild dementia stage; nonpharmacologic: cognitive stimulation, caregiver support	N	https://www.uptodate.com/contents/clinical-features-and-diagnosis-of-alzheimers-disease																
Amyotrophic Lateral Sclerosis	Adult with progressive asymmetric limb weakness, muscle atrophy, fasciculations, hyperreflexia, and bulbar symptoms without sensory loss; "upper and lower motor neuron signs together"	Progressive degeneration of upper motor neurons in motor cortex and lower motor neurons in brainstem and spinal cord anterior horns; mechanisms include protein aggregation (transactive response DNA-binding protein 43, superoxide dismutase 1), glutamate excitotoxicity, oxidative stress, mitochondrial dysfunction; 10 percent familial	Incidence 1 to 3 per 100,000 per year; prevalence 4 to 6 per 100,000; mean age of onset 55 to 65 years; male to female ratio 1.5 to 1; 90 percent sporadic, 10 percent familial	Upper motor neuron: spasticity, hyperreflexia, extensor plantar responses; Lower motor neuron: weakness, muscle atrophy, fasciculations, hyporeflexia; Bulbar: dysarthria, dysphagia, tongue atrophy and fasciculations; no sensory loss, no bowel or bladder dysfunction early, no eye movement abnormalities	Progressive over months to years; median survival 3 to 5 years from symptom onset; 10 percent survive more than 10 years; bulbar onset has worse prognosis	Multifocal motor neuropathy, cervical myelopathy with radiculopathy, inclusion body myositis, spinobulbar muscular atrophy, primary lateral sclerosis, progressive muscular atrophy, myasthenia gravis	Electromyography and nerve conduction studies showing widespread denervation with normal sensory responses; magnetic resonance imaging of brain and spine to exclude structural lesions; revised El Escorial criteria (upper and lower motor neuron signs in multiple regions); elevated creatine kinase	Riluzole (glutamate antagonist) modestly prolongs survival; edaravone (antioxidant) may slow decline; multidisciplinary care: noninvasive ventilation, percutaneous endoscopic gastrostomy, physical therapy, speech therapy, palliative care	N	https://www.uptodate.com/contents/amyotrophic-lateral-sclerosis-clinical-features-and-diagnosis																
Anterior Cord Syndrome	Loss of motor function and pain/temperature sensation with preserved proprioception and vibration; "can tell where limbs are but can't move them or feel pain"	Ischemic injury to anterior two-thirds of spinal cord from anterior spinal artery occlusion; affects corticospinal tracts and spinothalamic tracts; dorsal columns (posterior one-third) spared	Relatively rare; associated with aortic surgery, hypotension, anterior spinal artery thrombosis, disc herniation, hyperflexion injuries	Complete motor paralysis below lesion; loss of pain and temperature sensation below lesion; preserved proprioception, vibration, two-point discrimination, and fine touch; bladder and bowel dysfunction	Acute onset over minutes to hours with vascular causes; may be acute with trauma	Central cord syndrome, complete spinal cord injury, spinal cord infarction, epidural hematoma, transverse myelitis	Magnetic resonance imaging shows anterior cord signal abnormality (T2 hyperintensity in anterior two-thirds); diffusion-weighted imaging may show restricted diffusion with infarction; neurological examination	Acute: supportive care, blood pressure augmentation for spinal cord perfusion; treat underlying cause (aortic repair, anticoagulation if thrombosis); Rehabilitation: physical and occupational therapy; Prognosis: poorest among incomplete cord syndromes	Y	https://www.uptodate.com/contents/traumatic-spinal-cord-injury																
Benedikt Syndrome	Ipsilateral third nerve palsy with contralateral tremor, ataxia, and hyperreflexia; "red nucleus plus third nerve"	Midbrain lesion affecting oculomotor nerve fascicles, red nucleus, and superior cerebellar peduncle; most commonly due to posterior cerebral artery or basilar perforating artery occlusion; also caused by trauma, tumor, or hemorrhage	Rare midbrain syndrome; typically affects middle-aged to older adults; vascular etiology most common	Ipsilateral: third nerve palsy (ptosis, mydriasis, eye down and out); Contralateral: intention tremor, hemiataxia, dysmetria, hyperactive deep tendon reflexes, choreiform movements possible	Acute onset with vascular causes (minutes to hours); subacute to chronic with mass lesions (days to weeks)	Weber syndrome, Claude syndrome, other midbrain strokes, multiple sclerosis, brain tumor, arteriovenous malformation	Magnetic resonance imaging with diffusion-weighted imaging shows midbrain lesion involving red nucleus and oculomotor fascicles; magnetic resonance angiography or computed tomography angiography to evaluate posterior circulation; vascular risk factor assessment	Acute stroke: thrombolysis or thrombectomy if eligible; secondary stroke prevention with antiplatelet or anticoagulation; symptomatic tremor management: propranolol, primidone, or deep brain stimulation of ventral intermediate nucleus for refractory cases; physical therapy for ataxia	Y	https://www.uptodate.com/contents/overview-of-the-clinical-manifestations-of-posterior-circulation-stroke																
Botulism	Patient with descending paralysis, diplopia, dysarthria, dysphagia following consumption of home-canned foods or honey (infant); "flaccid paralysis that descends"	Clostridium botulinum produces botulinum toxin (types A, B, E most common in humans); toxin irreversibly blocks acetylcholine release at neuromuscular junction by cleaving synaptosomal-associated protein 25; causes flaccid paralysis	Rare; approximately 200 cases per year in United States; foodborne (home-canned foods, fermented fish), infant (honey, soil exposure in infants less than 12 months), wound (injection drug use), iatrogenic (cosmetic or therapeutic botulinum toxin)	Cranial nerve palsies: diplopia, ptosis, dilated pupils, dysarthria, dysphagia, facial weakness; descending symmetric flaccid paralysis; no sensory loss; no fever; alert and oriented; autonomic: dry mouth, constipation, urinary retention; respiratory failure	Foodborne: symptoms 12 to 36 hours after ingestion; progressive over days; recovery over weeks to months with supportive care	Guillain-Barré syndrome (especially Miller Fisher variant), myasthenia gravis, stroke, tick paralysis, Lambert-Eaton myasthenic syndrome, organophosphate poisoning, shellfish poisoning	Clinical diagnosis; confirmatory: detection of toxin in serum, stool, or food by mouse bioassay; electromyography shows brief, small, abundant motor unit action potentials with facilitation at high-frequency stimulation; normal nerve conduction studies	Antitoxin: heptavalent botulism antitoxin for adults, botulism immune globulin for infants; supportive care: mechanical ventilation if respiratory failure; nasogastric feeding; bowel regimen; do not induce vomiting; antibiotics only for wound botulism (penicillin or metronidazole)	Y	https://www.uptodate.com/contents/botulism																
Brown-Séquard Syndrome	Hemisection of spinal cord (classically from penetrating trauma like stab wound) with ipsilateral motor weakness and proprioception loss, contralateral pain and temperature loss	Unilateral spinal cord injury affecting ipsilateral corticospinal tract (motor), dorsal columns (proprioception, vibration), and contralateral spinothalamic tract (pain, temperature sensation crosses at spinal level)	Rare in pure form; more commonly presents as Brown-Séquard-plus syndrome with features of other incomplete syndromes; penetrating trauma, tumors, disc herniation, multiple sclerosis	Ipsilateral: motor weakness, loss of proprioception and vibration sense below lesion; Contralateral: loss of pain and temperature sensation one to two levels below lesion; Bilateral: all sensory modalities lost at level of lesion	Acute onset with trauma; gradual onset with compressive or inflammatory lesions	Central cord syndrome, anterior cord syndrome, complete spinal cord injury, spinal cord tumor, transverse myelitis, epidural abscess	Magnetic resonance imaging shows unilateral spinal cord lesion; computed tomography for bony injury; neurological examination documenting lateralized findings	Acute trauma: surgical decompression if indicated; Tumor or abscess: surgical resection or drainage; Rehabilitation: physical therapy; Prognosis: best recovery among incomplete cord syndromes	Y	https://www.uptodate.com/contents/traumatic-spinal-cord-injury																
Cavernous Sinus Thrombosis	Fever, headache, and bilateral progressive ophthalmoplegia with periorbital edema following facial infection or sinusitis; "painful eye with cranial nerve six palsy"	Septic thrombophlebitis of cavernous sinus from spread of infection (most commonly sinusitis or facial infection); Staphylococcus aureus most common pathogen; thrombosis obstructs venous drainage and affects cranial nerves three, four, five (ophthalmic and maxillary divisions), and six within sinus	Rare condition; most common antecedent is sinusitis or facial infection several days prior; other causes include maxillofacial trauma, surgery, thrombophilia, dehydration	Fever, severe headache, periorbital edema, chemosis, ptosis, ophthalmoplegia (cranial nerve six affected first causing lateral rectus palsy, then cranial nerves three and four), vision changes; bilateral involvement in 70 percent of cases; may have altered mental status, seizures	Progressive over days; initially unilateral then becomes bilateral within 24 to 48 hours	Orbital cellulitis, orbital abscess, cerebral venous thrombosis, meningitis, brain abscess, septic emboli	Computed tomography head and orbits with intravenous contrast delayed phase imaging; magnetic resonance venography has highest sensitivity; blood cultures positive in up to 70 percent; elevated inflammatory markers	Broad-spectrum intravenous antibiotics (vancomycin plus third or fourth generation cephalosporin or carbapenem); anticoagulation with heparin; neurosurgery and infectious disease consultation; may require surgical drainage of source	Y	https://www.uptodate.com/contents/cavernous-sinus-thrombosis																
Central Cord Syndrome	Elderly patient with hyperextension neck injury after fall presenting with upper extremity weakness greater than lower extremity weakness; "arms worse than legs"	Injury to central gray matter and crossing spinothalamic fibers in cervical spinal cord; lateral corticospinal tract fibers to upper extremities are more centrally located than those to lower extremities; often occurs with underlying cervical spondylosis	Most common incomplete spinal cord injury syndrome; typically affects older adults with degenerative cervical spine disease; younger patients may have fracture-dislocation or disc herniation	Upper extremity weakness (especially hands) greater than lower extremity weakness; variable sensory loss with suspended sensory level possible; bladder dysfunction (usually urinary retention) may occur; tendon reflexes lost at lesion level	Acute onset with trauma; may improve over weeks to months with rehabilitation	Anterior cord syndrome, Brown-Séquard syndrome, complete spinal cord injury, cervical disc herniation, epidural hematoma	Magnetic resonance imaging of cervical spine shows central cord signal abnormality (T2 hyperintensity); computed tomography to evaluate for fractures; neurological examination documenting motor and sensory levels	Acute: high-dose methylprednisolone controversial; surgical decompression timing debated (early versus delayed); Rehabilitation: physical and occupational therapy; Prognosis: generally favorable with lower extremity recovery better than upper extremity	Y	https://www.uptodate.com/contents/traumatic-spinal-cord-injury																
Charcot-Marie-Tooth Disease	Child or young adult with distal leg weakness, foot drop, high arches (pes cavus), and hammer toes; "stork legs" or "inverted champagne bottle legs"	Heterogeneous group of inherited peripheral neuropathies; most common type 1A due to duplication of peripheral myelin protein 22 gene causing demyelination; type 2 involves axonal degeneration; affects motor and sensory nerves	Most common inherited neuropathy; prevalence 1 in 2500; type 1A (demyelinating) most common subtype (70 percent); autosomal dominant inheritance most common; onset typically childhood to young adulthood	Distal leg weakness and atrophy (foot drop, steppage gait), pes cavus, hammer toes, distal sensory loss (glove-and-stocking), absent ankle reflexes, hand weakness and atrophy in later stages; slowly progressive; minimal pain; normal life expectancy	Onset typically first or second decade; slowly progressive over decades; wheelchair dependence rare except in severe forms	Hereditary neuropathy with liability to pressure palsies, distal spinal muscular atrophy, chronic inflammatory demyelinating polyneuropathy, other hereditary neuropathies, muscular dystrophy	Nerve conduction studies: type 1 (demyelinating) shows uniform slowing (median motor nerve conduction velocity less than 38 meters per second); type 2 (axonal) shows reduced amplitudes with normal velocities; genetic testing confirms diagnosis; nerve biopsy shows onion bulb formation in type 1	No cure; ankle-foot orthoses for foot drop; physical therapy to maintain strength and range of motion; occupational therapy; surgical correction of foot deformities; pain management if needed; genetic counseling	N	https://www.uptodate.com/contents/charcot-marie-tooth-disease-and-related-disorders																
Claude Syndrome	Ipsilateral third nerve palsy with contralateral ataxia; "red nucleus without tremor" (compared to Benedikt)	Ventromedial midbrain lesion affecting oculomotor nerve nucleus or fascicles and red nucleus or superior cerebellar peduncle; most commonly due to ischemic stroke from posterior cerebral artery or basilar perforating branches; also neurocysticercosis, neuro-Behcet disease	Very rare; more common in adults but pediatric cases reported; vascular etiology predominates in adults	Ipsilateral: third nerve palsy (ptosis, mydriasis, impaired adduction, elevation, and depression of eye); Contralateral: hemiataxia, dysmetria, intention tremor less prominent than Benedikt syndrome	Acute onset with stroke (minutes to hours); subacute with infectious or inflammatory causes (days to weeks)	Benedikt syndrome, Weber syndrome, other brainstem strokes, multiple sclerosis, neurocysticercosis, neuro-Behcet disease	Magnetic resonance imaging shows ventromedial midbrain infarction; magnetic resonance angiography for vascular assessment; cerebrospinal fluid analysis if infectious or inflammatory etiology suspected; serology for Behcet disease or neurocysticercosis if indicated	Acute stroke: thrombolysis or thrombectomy if eligible; secondary prevention with antiplatelet or anticoagulation; treat underlying cause: albendazole and steroids for neurocysticercosis, immunosuppression for neuro-Behcet; physical therapy for ataxia	Y	https://www.uptodate.com/contents/overview-of-the-clinical-manifestations-of-posterior-circulation-stroke																
